LON(deg)  LAT(deg)      Z     DV    VEL
 38.0000   17.0000  -2.00  -3.00   5.63
 38.5000   17.0000  -2.00   3.00   5.97
 39.0000   17.0000  -2.00  -3.00   5.63
 39.5000   17.0000  -2.00   3.00   5.97
 40.0000   17.0000  -2.00  -3.00   5.63
 40.5000   17.0000  -2.00   3.00   5.97
 41.0000   17.0000  -2.00  -3.00   5.63
 41.5000   17.0000  -2.00   3.00   5.97
 42.0000   17.0000  -2.00  -3.00   5.63
 42.5000   17.0000  -2.00   3.00   5.97
 43.0000   17.0000  -2.00  -3.00   5.63
 43.5000   17.0000  -2.00   3.00   5.97
 44.0000   17.0000  -2.00  -3.00   5.63
 44.5000   17.0000  -2.00   3.00   5.97
 45.0000   17.0000  -2.00  -3.00   5.63
 45.5000   17.0000  -2.00   3.00   5.97
 46.0000   17.0000  -2.00  -3.00   5.63
 46.5000   17.0000  -2.00   3.00   5.97
 47.0000   17.0000  -2.00  -3.00   5.63
 38.0000   16.5000  -2.00   3.00   5.97
 38.5000   16.5000  -2.00  -3.00   5.63
 39.0000   16.5000  -2.00   3.00   5.97
 39.5000   16.5000  -2.00  -3.00   5.63
 40.0000   16.5000  -2.00   3.00   5.97
 40.5000   16.5000  -2.00  -3.00   5.63
 41.0000   16.5000  -2.00   3.00   5.97
 41.5000   16.5000  -2.00  -3.00   5.63
 42.0000   16.5000  -2.00   3.00   5.97
 42.5000   16.5000  -2.00  -3.00   5.63
 43.0000   16.5000  -2.00   3.00   5.97
 43.5000   16.5000  -2.00  -3.00   5.63
 44.0000   16.5000  -2.00   3.00   5.97
 44.5000   16.5000  -2.00  -3.00   5.63
 45.0000   16.5000  -2.00   3.00   5.97
 45.5000   16.5000  -2.00  -3.00   5.63
 46.0000   16.5000  -2.00   3.00   5.97
 46.5000   16.5000  -2.00  -3.00   5.63
 47.0000   16.5000  -2.00   3.00   5.97
 38.0000   16.0000  -2.00  -3.00   5.63
 38.5000   16.0000  -2.00   3.00   5.97
 39.0000   16.0000  -2.00  -3.00   5.63
 39.5000   16.0000  -2.00   3.00   5.97
 40.0000   16.0000  -2.00  -3.00   5.63
 40.5000   16.0000  -2.00   3.00   5.97
 41.0000   16.0000  -2.00  -3.00   5.63
 41.5000   16.0000  -2.00   3.00   5.97
 42.0000   16.0000  -2.00  -3.00   5.63
 42.5000   16.0000  -2.00   3.00   5.97
 43.0000   16.0000  -2.00  -3.00   5.63
