  LON(deg)  LAT(deg)   Z(km)    VPB%  V(km/s)
   39.5000   13.5000   -2.00   -1.50    5.63
   39.5000   13.0000   -2.00    3.00    6.27
   39.5000   12.5000   -2.00   -2.61    5.50
   40.0000   13.5000   -2.00    3.00    6.26
   40.0000   13.0000   -2.00   -0.49    5.74
   40.0000   12.5000   -2.00    3.00    6.33
   40.0000   12.0000   -2.00   -0.10    5.79
   40.0000   11.5000   -2.00    3.00    6.15
   40.5000   13.0000   -2.00    1.59    5.99
   40.5000   12.5000   -2.00   -3.00    5.25
   40.5000   12.0000   -2.00    3.00    6.60
   40.5000   11.5000   -2.00   -0.07    5.79
   41.0000   16.0000   -2.00   -2.90    5.47
   41.0000   13.0000   -2.00   -2.34    5.53
   41.0000   12.5000   -2.00    3.00    6.44
   41.0000   12.0000   -2.00   -3.00    6.12
   41.0000   11.5000   -2.00    3.00    6.38
   41.0000   11.0000   -2.00   -2.93    5.47
   41.5000   16.0000   -2.00    3.00    6.15
   41.5000   13.5000   -2.00   -0.01    5.80
   41.5000   13.0000   -2.00    3.00    6.16
   41.5000   12.5000   -2.00   -1.99    5.57
   41.5000   12.0000   -2.00    2.48    6.09
   41.5000   11.5000   -2.00   -3.00    5.45
   42.0000   14.5000   -2.00    2.94    6.15
   42.0000   13.0000   -2.00   -2.93    5.47
   42.0000   12.5000   -2.00    3.00    6.16
   42.0000   12.0000   -2.00   -3.00    5.40
   42.0000   11.5000   -2.00    3.00    6.29
   42.0000   11.0000   -2.00   -2.43    5.52
   42.5000   14.5000   -2.00   -3.00    5.45
   42.5000   12.0000   -2.00    3.00    6.40
   42.5000   11.5000   -2.00   -3.00    6.12
   42.5000   11.0000   -2.00    3.00    6.34
   43.0000   11.5000   -2.00    3.00    6.67
   43.0000   11.0000   -2.00   -2.57    5.50
   43.5000   15.5000   -2.00   -0.23    5.77
   43.5000   14.0000   -2.00    3.00    6.19
   43.5000   13.5000   -2.00   -2.66    5.49
   43.5000   12.0000   -2.00    3.00    6.67
   43.5000   11.5000   -2.00   -3.00    5.38
