  LON(deg)  LAT(deg)   Z(km)    VPB%  V(km/s)
   39.5000   13.5000   -2.00   -1.30    5.65
   39.5000   13.0000   -2.00   -0.30    5.76
   39.5000   12.5000   -2.00   -0.22    5.77
   40.0000   13.5000   -2.00    0.34    5.84
   40.0000   13.0000   -2.00    1.89    6.02
   40.0000   12.5000   -2.00    1.80    6.01
   40.0000   12.0000   -2.00    2.27    6.07
   40.0000   11.5000   -2.00    0.57    5.87
   40.5000   13.0000   -2.00   -0.57    5.73
   40.5000   12.5000   -2.00   -3.00    5.40
   40.5000   12.0000   -2.00    3.00    6.39
   40.5000   11.5000   -2.00    2.84    6.14
   41.0000   16.0000   -2.00    0.08    5.81
   41.0000   13.0000   -2.00    1.44    5.97
   41.0000   12.5000   -2.00    1.53    5.98
   41.0000   12.0000   -2.00    3.00    6.22
   41.0000   11.5000   -2.00    2.19    6.06
   41.0000   11.0000   -2.00    0.06    5.81
   41.5000   16.0000   -2.00    0.01    5.80
   41.5000   13.5000   -2.00    3.00    6.16
   41.5000   13.0000   -2.00    0.09    5.81
   41.5000   12.5000   -2.00    0.61    5.87
   41.5000   12.0000   -2.00   -1.85    5.59
   41.5000   11.5000   -2.00   -0.35    5.76
   42.0000   14.5000   -2.00   -0.07    5.79
   42.0000   13.0000   -2.00    0.04    5.80
   42.0000   12.5000   -2.00    0.12    5.81
   42.0000   12.0000   -2.00   -0.07    5.79
   42.0000   11.5000   -2.00    0.66    5.88
   42.0000   11.0000   -2.00    0.33    5.84
   42.5000   14.5000   -2.00   -0.07    5.79
   42.5000   12.0000   -2.00    3.00    6.23
   42.5000   11.5000   -2.00    3.00    6.49
   42.5000   11.0000   -2.00    2.44    6.09
   43.0000   11.5000   -2.00    3.00    6.32
   43.0000   11.0000   -2.00    0.36    5.84
   43.5000   15.5000   -2.00    0.66    5.88
   43.5000   14.0000   -2.00    0.13    5.82
   43.5000   13.5000   -2.00    0.08    5.81
   43.5000   12.0000   -2.00    2.62    6.11
   43.5000   11.5000   -2.00   -3.00    5.44
   43.5000   11.0000   -2.00   -0.03    5.80
   44.0000   15.5000   -2.00    1.46    5.97
   44.0000   15.0000   -2.00    0.92    5.91
   44.0000   14.5000   -2.00    0.62    5.87
   44.0000   14.0000   -2.00    1.72    6.00
   44.0000   13.5000   -2.00    0.73    5.88
   44.0000   13.0000   -2.00    2.89    6.15
   44.0000   12.5000   -2.00    1.56    5.98
   44.0000   12.0000   -2.00    3.00    6.45
   44.0000   11.5000   -2.00   -0.77    5.71
   44.5000   14.5000   -2.00    0.46    5.85
