YYYY/MM/DD HR:MI:SS.00  Z(km)  EVENT-ID STN   ARRIV-ID  XD(km)   BAZI   RCAL  RISC
1976/08/06 20:32:24.80  10.00    709547 KSU   22747294  351.40  299.49 -1.73 -1.60     1
1976/08/06 20:32:24.80  10.00    709547 SGH   22747295  374.16  299.37 -1.38 -1.20     2
1976/08/06 20:32:24.80  10.00    709547 TDJ   22747296  381.65  292.05 -0.85 -0.70     3
1976/08/06 20:32:24.80  10.00    709547 ART   22747297  389.50  296.51 -1.23 -1.00     4
1976/08/06 20:32:24.80  10.00    709547 MKL   22747298  411.44  291.70  1.55  1.90     5
1976/08/06 20:32:24.80  10.00    709547 OBO   22747299  415.50  287.01 -2.17 -1.90     6
1976/08/06 20:32:24.80  10.00    709547 ATA   22747300  428.69  294.95  1.44  1.80     7
1976/11/07 05:53:06.48  10.00    705633 TDJ   22610995  485.05  340.36 -2.03 -1.20     8
1976/11/07 05:53:06.48  10.00    705633 DAF   22610996  493.75  345.46 -1.47 -0.50     9
1976/11/07 05:53:06.48  10.00    705633 KSU   22610997  499.64  346.70 -1.52 -0.60    10
1976/11/07 05:53:06.48  10.00    705633 MKL   22610998  503.72  337.65 -2.47 -1.60    11
1976/11/07 05:53:06.48  10.00    705633 ART   22610999  512.23  342.07 -1.69 -0.80    12
1976/11/07 05:53:06.48  10.00    705633 SGH   22611000  514.91  344.79 -1.71 -0.80    13
1976/11/16 12:53:32.87  10.00    706012 TDJ   22625896  469.35  347.33 -0.92 -0.10    14
1976/11/16 12:53:32.87  10.00    706012 MKL   22625898  485.18  344.28 -1.94 -1.00    15
1976/11/16 12:53:32.87  10.00    706012 ART   22625900  498.08  348.71 -0.66  0.30    16
1976/11/16 12:53:32.87  10.00    706012 SGH   22625901  503.50  351.44 -1.12 -0.20    17
1976/11/16 12:53:32.87  10.00    706012 ATA   22625902  514.51  344.49  1.63  2.60    18
1976/11/16 12:53:32.87  10.00    706012 AAE   22625903  839.81   24.62  1.33  2.10    19
1976/12/01 05:03:38.36  10.00    704194 OBO   22560308  468.53  338.24 -2.40 -1.60    20
1976/12/01 05:03:38.36  10.00    704194 TDJ   22560309  474.65  344.11 -2.38 -1.50    21
1976/12/01 05:03:38.36  10.00    704194 DAF   22560310  486.13  349.23 -1.07 -0.20    22
1976/12/01 05:03:38.36  10.00    704194 MKL   22560311  491.82  341.21 -1.77 -0.80    23
1976/12/01 05:03:38.36  10.00    704194 KSU   22560312  492.69  350.44 -1.62 -0.70    24
1976/12/01 05:03:38.36  10.00    704194 ART   22560313  502.71  345.66 -2.21 -1.30    25
1977/07/08 06:23:01.72  16.20    695671 AAE   22261559  228.74   24.36 -0.79 -0.90    26
1977/07/08 06:23:01.72  16.20    695671 SGH   22261560  333.24  259.47 -0.52 -0.40    27
1977/07/08 06:23:01.72  16.20    695671 ARO   22261561  358.07  258.57 -0.19  0.10    28
1977/07/08 06:23:01.72  16.20    695671 TDJ   22261563  369.40  254.12  0.14  0.40    29
1977/07/08 06:23:01.72  16.20    695671 ATA   22261564  395.34  260.76  0.13  0.50    30
1977/12/28 02:45:34.93   8.20    689591 OBO   22039297  598.24  327.18 -3.41 -2.70    31
1977/12/28 02:45:34.93   8.20    689591 MKL   22039299  616.44  329.90 -4.14 -3.40    32
1977/12/28 02:45:34.93   8.20    689591 AAE   22039301  850.36   11.57 -1.20 -0.40    33
1978/01/17 15:00:30.73  14.00    687923 OBO   21975016  593.81  326.26 -2.23 -1.40    34
1978/01/17 15:00:30.73  14.00    687923 KSU   21975017  594.90  336.39 -2.20 -1.30    35
1978/01/17 15:00:30.73  14.00    687923 MKL   21975018  611.56  329.03 -1.59 -0.80    36
1978/01/17 15:00:30.73  14.00    687923 ARO   21975019  614.05  332.68 -2.08 -1.20    37
1978/01/17 15:00:30.73  14.00    687923 AAE   21975021  840.54   11.31 -0.25  0.70    38
1978/12/21 04:03:54.86  14.60    672803 ARO   21372467   12.68   98.91 -0.69 -0.70    39
1978/12/21 04:03:54.86  14.60    672803 ATA   21372469   27.30  282.68  2.00  2.00    40
1978/12/21 04:03:54.86  14.60    672803 MKL   21372468   30.68  222.12  0.19 -0.70    41
1978/12/21 04:03:54.86  14.60    672803 TDJ   21372470   32.95  166.24 -2.57 -2.60    42
1978/12/21 04:03:54.86  14.60    672803 DAF   21372471   48.32  103.35 -2.87 -2.90    43
1978/12/21 04:03:54.86  14.60    672803 KSU   21372472   56.13   92.98 -2.57 -2.60    44
1978/12/21 04:03:54.86  14.60    672803 OBO   21372473   64.17  214.12 -1.40 -1.40    45
1978/12/21 04:03:54.86  14.60    672803 AAE   21372474  535.37   59.41 -2.36 -1.60    46
1979/07/10 23:11:05.73  10.00    661614 OBO   20959037  261.56   79.57 -0.45 -0.80    47
1979/07/10 23:11:05.73  10.00    661614 MKL   20959038  283.76   74.14 -1.28 -1.50    48
1979/07/10 23:11:05.73  10.00    661614 ATA   20959039  287.57   68.29 -2.27 -2.50    49
1979/07/10 23:11:05.73  10.00    661614 ARO   20959040  321.57   72.25 -1.60 -1.60    50
1979/07/10 23:11:05.73  10.00    661614 SGH   20959041  346.92   71.93 -1.73 -1.70    51
1979/07/10 23:11:05.73  10.00    661614 DAF   20959042  351.96   75.44 -0.82 -0.80    52
1979/07/10 23:11:05.73  10.00    661614 KSU   20959043  362.88   74.56 -0.73 -0.60    53
